Name,Fibered,Crossing Number,Unknotting Number,Genus-3D,Crosscap Number,Bridge Index,Braid Index,Braid Length,Signature,Thurston-Bennequin Number,Arc Index,Stick Number,Tunnel Number,Jones (vector),Genus-4D,Genus-4D (Top.),Determinant,Rasmussen s,Ozsvath-Szabo tau,Arf Invariant,Turaev Genus,Clasp Number,L-space,Epsilon,Quasialternating,Almost Alternating,Adequate,Unknotting Number-Algebraic,Ropelength
3_1,Y,3,1,1,1,2,2,3,-2,[1][-6],5,6,1,{1; 4; 1; 0; 1; -1},1,1,3,2,1,1,0,1,Yes,1,Y,N,Y,1,32.7436
4_1,Y,4,1,1,2,2,3,4,0,[-3][-3],6,7,1,{-2; 2; 1; -1; 1; -1; 1},1,1,5,0,0,1,0,1,No,0,Y,N,Y,1,42.0887
5_1,Y,5,2,2,1,2,2,5,-4,[3][-10],7,8,1,{2; 7; 1; 0; 1; -1; 1; -1},2,2,5,4,2,1,0,2,Yes,1,Y,N,Y,2,47.2016
5_2,N,5,1,1,2,2,3,6,-2,[1][-8],7,8,1,{1; 6; 1; -1; 2; -1; 1; -1},1,1,7,2,1,0,0,1,No,1,Y,N,Y,1,49.4701
6_1,N,6,1,1,2,2,4,7,0,[-3][-5],8,8,1,{-2; 4; 1; -1; 2; -2; 1; -1; 1},0,0,9,0,0,0,0,1,No,0,Y,N,Y,1,56.7058
6_2,Y,6,1,2,2,2,3,6,-2,[-1][-7],8,8,1,{-1; 5; 1; -1; 2; -2; 2; -2; 1},1,1,11,2,1,1,0,2,No,1,Y,N,Y,1,57.0235
6_3,Y,6,1,2,3,2,3,6,0,[-4][-4],8,8,1,{-3; 3; -1; 2; -2; 3; -2; 2; -1},1,1,13,0,0,1,0,2,No,0,Y,N,Y,1,57.8392
7_1,Y,7,3,3,1,2,2,7,-6,[5][-14],9,9,1,{3; 10; 1; 0; 1; -1; 1; -1; 1; -1},3,3,7,6,3,0,0,3,Yes,1,Y,N,Y,3,61.4067
7_2,N,7,1,1,2,2,4,9,-2,[1][-10],9,9,1,{1; 8; 1; -1; 2; -2; 2; -1; 1; -1},1,1,11,2,1,1,0,1,No,1,Y,N,Y,1,63.8556
7_3,N,7,2,2,2,2,3,8,-4,[3][-12],9,9,1,{2; 9; 1; -1; 2; -2; 3; -2; 1; -1},2,2,13,4,2,1,0,2,No,1,Y,N,Y,2,63.9285
7_4,N,7,2,1,3,2,4,9,-2,[1][-10],9,9,1,{1; 8; 1; -2; 3; -2; 3; -2; 1; -1},1,1,15,2,1,0,0,2,No,1,Y,N,Y,2,64.2687
7_5,N,7,2,2,3,2,3,8,-4,[3][-12],9,9,1,{2; 9; 1; -1; 3; -3; 3; -3; 2; -1},2,2,17,4,2,0,0,2,No,1,Y,N,Y,2,65.256
7_6,Y,7,1,2,3,2,4,7,-2,[-1][-8],9,9,1,{-1; 6; 1; -2; 3; -3; 4; -3; 2; -1},1,1,19,2,1,1,0,2,No,1,Y,N,Y,1,65.6924
7_7,Y,7,1,2,3,2,4,7,0,[-5][-4],9,9,1,{-4; 3; 1; -2; 3; -4; 4; -3; 3; -1},1,1,21,0,0,1,0,2,No,0,Y,N,Y,1,65.6069
8_1,N,8,1,1,2,2,5,10,0,[-3][-7],10,[9;10],1,{-2; 6; 1; -1; 2; -2; 2; -2; 1; -1; 1},1,1,13,0,0,1,0,1,No,0,Y,N,Y,1,70.9669
8_2,Y,8,2,3,2,2,3,8,-4,[1][-11],10,[9;10],1,{0; 8; 1; -1; 2; -2; 3; -3; 2; -2; 1},2,2,17,4,2,0,0,3,No,1,Y,N,Y,2,71.3985
8_3,N,8,2,1,3,2,5,10,0,[-5][-5],10,[9;10],1,{-4; 4; 1; -1; 2; -3; 3; -3; 2; -1; 1},1,1,17,0,0,0,0,2,No,0,Y,N,Y,1,71.1575
8_4,N,8,2,2,2,2,4,9,2,[-7][-3],10,[9;10],1,{-5; 3; 1; -2; 3; -3; 3; -3; 2; -1; 1},1,1,19,-2,-1,1,0,2,No,-1,Y,N,Y,1,71.4704
8_5,Y,8,2,3,2,3,3,8,-4,[1][-11],10,[9;10],1,{0; 8; 1; -1; 3; -3; 3; -4; 3; -2; 1},2,2,21,4,2,1,0,3,No,1,Y,N,Y,2,72.1344
8_6,N,8,2,2,3,2,4,9,-2,[-1][-9],10,[9;10],1,{-1; 7; 1; -1; 3; -4; 4; -4; 3; -2; 1},1,1,23,2,1,0,0,2,No,1,Y,N,Y,1,72.4725
8_7,Y,8,1,3,3,2,3,8,2,[-8][-2],10,[9;10],1,{-6; 2; -1; 2; -3; 4; -4; 4; -2; 2; -1},1,1,23,-2,-1,0,0,3,No,-1,Y,N,Y,1,72.2137
8_8,N,8,2,2,3,2,4,9,0,[-6][-4],10,[9;10],1,{-5; 3; -1; 2; -3; 4; -4; 5; -3; 2; -1},0,0,25,0,0,0,0,2,No,0,Y,N,Y,2,72.7241
8_9,Y,8,1,3,3,2,3,8,0,[-5][-5],10,[9;10],1,{-4; 4; 1; -2; 3; -4; 5; -4; 3; -2; 1},0,0,25,0,0,0,0,3,No,0,Y,N,Y,1,72.4399
8_10,Y,8,2,3,3,3,3,8,2,[-8][-2],10,[9;10],1,{-6; 2; -1; 2; -4; 5; -4; 5; -3; 2; -1},1,1,27,-2,-1,1,0,3,No,-1,Y,N,Y,1,72.9379
8_11,N,8,1,2,3,2,4,9,-2,[-1][-9],10,[9;10],1,{-1; 7; 1; -2; 4; -4; 5; -5; 3; -2; 1},1,1,27,2,1,1,0,2,No,1,Y,N,Y,1,72.8966
8_12,Y,8,2,2,4,2,5,8,0,[-5][-5],10,[9;10],1,{-4; 4; 1; -2; 4; -5; 5; -5; 4; -2; 1},1,1,29,0,0,1,0,2,No,0,Y,N,Y,1,73.9518
8_13,N,8,1,2,3,2,4,9,0,[-6][-4],10,[9;10],1,{-5; 3; -1; 2; -3; 5; -5; 5; -4; 3; -1},1,1,29,0,0,1,0,2,No,0,Y,N,Y,1,72.8
