knot_id,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
3_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
4_1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,-1,0,0,0,0,0,0,0,0,0
5_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-1,1,-1,0,0,0,0,0,0,0,0,0,0
6_1,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-2,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0
6_2,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-2,2,-2,1,0,0,0,0,0,0,0,0,0,0,0
6_3,0,0,0,0,0,0,0,0,0,0,-1,2,-2,3,-2,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
7_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1,-1,1,-1,0,0,0,0,0,0
7_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-2,2,-1,1,-1,0,0,0,0,0,0,0,0
7_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-2,3,-2,1,-1,0,0,0,0,0,0,0
7_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,3,-2,3,-2,1,-1,0,0,0,0,0,0,0,0
7_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-3,3,-3,2,-1,0,0,0,0,0,0,0
7_6,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,3,-3,4,-3,2,-1,0,0,0,0,0,0,0,0,0,0
7_7,0,0,0,0,0,0,0,0,0,1,-2,3,-4,4,-3,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
8_1,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-2,2,-2,1,-1,1,0,0,0,0,0,0,0,0,0,0
8_2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-2,3,-3,2,-2,1,0,0,0,0,0,0,0,0
8_3,0,0,0,0,0,0,0,0,0,1,-1,2,-3,3,-3,2,-1,1,0,0,0,0,0,0,0,0,0,0,0,0
8_4,0,0,0,0,0,0,0,0,1,-2,3,-3,3,-3,2,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8_5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-3,3,-4,3,-2,1,0,0,0,0,0,0,0,0
8_6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-4,4,-4,3,-2,1,0,0,0,0,0,0,0,0,0
8_7,0,0,0,0,0,0,0,-1,2,-3,4,-4,4,-2,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8_8,0,0,0,0,0,0,0,0,-1,2,-3,4,-4,5,-3,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
8_9,0,0,0,0,0,0,0,0,0,1,-2,3,-4,5,-4,3,-2,1,0,0,0,0,0,0,0,0,0,0,0,0
8_10,0,0,0,0,0,0,0,-1,2,-4,5,-4,5,-3,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8_11,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,4,-4,5,-5,3,-2,1,0,0,0,0,0,0,0,0,0
8_12,0,0,0,0,0,0,0,0,0,1,-2,4,-5,5,-5,4,-2,1,0,0,0,0,0,0,0,0,0,0,0,0
8_13,0,0,0,0,0,0,0,0,-1,2,-3,5,-5,5,-4,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
