Name,Alexander,Jones,KH Odd Red Z Poly,HFK Polyomial,HOMFLY
3_1,1-t+t^2,t+ t^3-t^4,q^(2) + t^(2) q^(6) + t^(3) q^(8),1a^(-1)m^(-2)+ 1a^(0)m^(-1)+ 1a^(1)m^(0),(2*v^2-v^4)+v^2*z^2
4_1,1-3*t+t^2,t^(-2)-t^(-1)+ 1-t+ t^2,t^(-2) q^(-4) + t^(-1) q^(-2) + 1 + t q^(2) + t^(2) q^(4),1a^(-1)m^(-1)+ 3a^(0)m^(0)+ 1a^(1)m^(1),(v^(-2)-1+v^2)-z^2
5_1,1-t+t^2-t^3+t^4,t^2+ t^4-t^5+ t^6-t^7,q^(4) + t^(2) q^(8) + t^(3) q^(10) + t^(4) q^(12) + t^(5) q^(14),1a^(-2)m^(-4)+ 1a^(-1)m^(-3)+ 1a^(0)m^(-2)+ 1a^(1)m^(-1)+ 1a^(2)m^(0),(3*v^4-2*v^6)+(4*v^4-v^6)*z^2+v^4*z^4
5_2,2-3*t+2*t^2,t-t^2+ 2*t^3-t^4+ t^5-t^6,q^(2) + t q^(4) + 2 t^(2) q^(6) + t^(3) q^(8) + t^(4) q^(10) + t^(5) q^(12),2a^(-1)m^(-2)+ 3a^(0)m^(-1)+ 2a^(1)m^(0),(v^2+v^4-v^6)+(v^2+v^4)*z^2
6_1,2-5*t+2*t^2,t^(-2)-t^(-1)+ 2-2*t+ t^2-t^3+ t^4,t^(-2) q^(-4) + t^(-1) q^(-2) + 2 + 2 t q^(2) + t^(2) q^(4) + t^(3) q^(6) + t^(4) q^(8),2a^(-1)m^(-1)+ 5a^(0)m^(0)+ 2a^(1)m^(1),(v^(-2)-v^2+v^4)+(-1-v^2)*z^2
6_2,1-3*t+3*t^2-3*t^3+t^4,t^(-1)-1+ 2*t-2*t^2+ 2*t^3-2*t^4+ t^5,t^(-2) q^(-2) + t^(-1) + 2 q^(2) + 2 t q^(4) + 2 t^(2) q^(6) + 2 t^(3) q^(8) + t^(4) q^(10),1a^(-2)m^(-3)+ 3a^(-1)m^(-2)+ 3a^(0)m^(-1)+ 3a^(1)m^(0)+ 1a^(2)m^(1),(2-2*v^2+v^4)+(1-3*v^2+v^4)*z^2-v^2*z^4
6_3,1-3*t+5*t^2-3*t^3+t^4,-t^(-3)+ 2*t^(-2)-2*t^(-1)+ 3-2*t+ 2*t^2-t^3,t^(-3) q^(-6) + 2 t^(-2) q^(-4) + 2 t^(-1) q^(-2) + 3 + 2 t q^(2) + 2 t^(2) q^(4) + t^(3) q^(6),1a^(-2)m^(-2)+ 3a^(-1)m^(-1)+ 5a^(0)m^(0)+ 3a^(1)m^(1)+ 1a^(2)m^(2),(-v^(-2)+3-v^2)+(-v^(-2)+3-v^2)*z^2+z^4
7_1,1-t+t^2-t^3+t^4-t^5+t^6,t^3+ t^5-t^6+ t^7-t^8+ t^9-t^10,q^(6) + t^(2) q^(10) + t^(3) q^(12) + t^(4) q^(14) + t^(5) q^(16) + t^(6) q^(18) + t^(7) q^(20),1a^(-3)m^(-6)+ 1a^(-2)m^(-5)+ 1a^(-1)m^(-4)+ 1a^(0)m^(-3)+ 1a^(1)m^(-2)+ 1a^(2)m^(-1)+ 1a^(3)m^(0),(4*v^6-3*v^8)+(10*v^6-4*v^8)*z^2+(6*v^6-v^8)*z^4+v^6*z^6
7_2,3-5*t+3*t^2,t-t^2+ 2*t^3-2*t^4+ 2*t^5-t^6+ t^7-t^8,q^(2) + t q^(4) + 2 t^(2) q^(6) + 2 t^(3) q^(8) + 2 t^(4) q^(10) + t^(5) q^(12) + t^(6) q^(14) + t^(7) q^(16),3a^(-1)m^(-2)+ 5a^(0)m^(-1)+ 3a^(1)m^(0),(v^2+v^6-v^8)+(v^2+v^4+v^6)*z^2
7_3,2-3*t+3*t^2-3*t^3+2*t^4,t^2-t^3+ 2*t^4-2*t^5+ 3*t^6-2*t^7+ t^8-t^9,q^(4) + t q^(6) + 2 t^(2) q^(8) + 2 t^(3) q^(10) + 3 t^(4) q^(12) + 2 t^(5) q^(14) + t^(6) q^(16) + t^(7) q^(18),2a^(-2)m^(-4)+ 3a^(-1)m^(-3)+ 3a^(0)m^(-2)+ 3a^(1)m^(-1)+ 2a^(2)m^(0),(v^4+2*v^6-2*v^8)+(3*v^4+3*v^6-v^8)*z^2+(v^4+v^6)*z^4
7_4,4-7*t+4*t^2,t-2*t^2+ 3*t^3-2*t^4+ 3*t^5-2*t^6+ t^7-t^8,q^(2) + 2 t q^(4) + 3 t^(2) q^(6) + 2 t^(3) q^(8) + 3 t^(4) q^(10) + 2 t^(5) q^(12) + t^(6) q^(14) + t^(7) q^(16),4a^(-1)m^(-2)+ 7a^(0)m^(-1)+ 4a^(1)m^(0),(2*v^4-v^8)+(v^2+2*v^4+v^6)*z^2
7_5,2-4*t+5*t^2-4*t^3+2*t^4,t^2-t^3+ 3*t^4-3*t^5+ 3*t^6-3*t^7+ 2*t^8-t^9,q^(4) + t q^(6) + 3 t^(2) q^(8) + 3 t^(3) q^(10) + 3 t^(4) q^(12) + 3 t^(5) q^(14) + 2 t^(6) q^(16) + t^(7) q^(18),2a^(-2)m^(-4)+ 4a^(-1)m^(-3)+ 5a^(0)m^(-2)+ 4a^(1)m^(-1)+ 2a^(2)m^(0),(2*v^4-v^8)+(3*v^4+2*v^6-v^8)*z^2+(v^4+v^6)*z^4
7_6,1-5*t+7*t^2-5*t^3+t^4,t^(-1)-2+ 3*t-3*t^2+ 4*t^3-3*t^4+ 2*t^5-t^6,t^(-2) q^(-2) + 2 t^(-1) + 3 q^(2) + 3 t q^(4) + 4 t^(2) q^(6) + 3 t^(3) q^(8) + 2 t^(4) q^(10) + t^(5) q^(12),1a^(-2)m^(-3)+ 5a^(-1)m^(-2)+ 7a^(0)m^(-1)+ 5a^(1)m^(0)+ 1a^(2)m^(1),(1-v^2+2*v^4-v^6)+(1-2*v^2+2*v^4)*z^2-v^2*z^4
7_7,1-5*t+9*t^2-5*t^3+t^4,t^(-4)-2*t^(-3)+ 3*t^(-2)-4*t^(-1)+ 4-3*t+ 3*t^2-t^3,t^(-4) q^(-8) + 2 t^(-3) q^(-6) + 3 t^(-2) q^(-4) + 4 t^(-1) q^(-2) + 4 + 3 t q^(2) + 3 t^(2) q^(4) + t^(3) q^(6),1a^(-2)m^(-2)+ 5a^(-1)m^(-1)+ 9a^(0)m^(0)+ 5a^(1)m^(1)+ 1a^(2)m^(2),(v^(-4)-2*v^(-2)+2)+(-2*v^(-2)+2-v^2)*z^2+z^4
8_1,3-7*t+3*t^2,t^(-2)-t^(-1)+ 2-2*t+ 2*t^2-2*t^3+ t^4-t^5+ t^6,t^(-2) q^(-4) + t^(-1) q^(-2) + 2 + 2 t q^(2) + 2 t^(2) q^(4) + 2 t^(3) q^(6) + t^(4) q^(8) + t^(5) q^(10) + t^(6) q^(12),3a^(-1)m^(-1)+ 7a^(0)m^(0)+ 3a^(1)m^(1),(v^(-2)-v^4+v^6)+(-1-v^2-v^4)*z^2
8_2,1-3*t+3*t^2-3*t^3+3*t^4-3*t^5+t^6,1-t+ 2*t^2-2*t^3+ 3*t^4-3*t^5+ 2*t^6-2*t^7+ t^8,t^(-2) + t^(-1) q^(2) + 2 q^(4) + 2 t q^(6) + 3 t^(2) q^(8) + 3 t^(3) q^(10) + 2 t^(4) q^(12) + 2 t^(5) q^(14) + t^(6) q^(16),1a^(-3)m^(-5)+ 3a^(-2)m^(-4)+ 3a^(-1)m^(-3)+ 3a^(0)m^(-2)+ 3a^(1)m^(-1)+ 3a^(2)m^(0)+ 1a^(3)m^(1),(3*v^2-3*v^4+v^6)+(4*v^2-7*v^4+3*v^6)*z^2+(v^2-5*v^4+v^6)*z^4-v^4*z^6
8_3,4-9*t+4*t^2,t^(-4)-t^(-3)+ 2*t^(-2)-3*t^(-1)+ 3-3*t+ 2*t^2-t^3+ t^4,t^(-4) q^(-8) + t^(-3) q^(-6) + 2 t^(-2) q^(-4) + 3 t^(-1) q^(-2) + 3 + 3 t q^(2) + 2 t^(2) q^(4) + t^(3) q^(6) + t^(4) q^(8),4a^(-1)m^(-1)+ 9a^(0)m^(0)+ 4a^(1)m^(1),(v^(-4)-1+v^4)+(-v^(-2)-2-v^2)*z^2
8_4,2-5*t+5*t^2-5*t^3+2*t^4,t^(-5)-2*t^(-4)+ 3*t^(-3)-3*t^(-2)+ 3*t^(-1)-3+ 2*t^1-t^2+ t^3,t^(-4) q^(-10) + 2 t^(-3) q^(-8) + 3 t^(-2) q^(-6) + 3 t^(-1) q^(-4) + 3 q^(-2) + 3 t + 2 t^(2) q^(2) + t^(3) q^(4) + t^(4) q^(6),2a^(-2)m^(-1)+ 5a^(-1)m^(0)+ 5a^(0)m^(1)+ 5a^(1)m^(2)+ 2a^(2)m^(3),(v^(-4)-2+2*v^2)+(v^(-4)-2*v^(-2)-3+v^2)*z^2+(-v^(-2)-1)*z^4
8_5,1-3*t+4*t^2-5*t^3+4*t^4-3*t^5+t^6,1-t+ 3*t^2-3*t^3+ 3*t^4-4*t^5+ 3*t^6-2*t^7+ t^8,t^(-2) + t^(-1) q^(2) + 3 q^(4) + 3 t q^(6) + 3 t^(2) q^(8) + 4 t^(3) q^(10) + 3 t^(4) q^(12) + 2 t^(5) q^(14) + t^(6) q^(16),1a^(-3)m^(-5)+ 3a^(-2)m^(-4)+ 4a^(-1)m^(-3)+ 5a^(0)m^(-2)+ 4a^(1)m^(-1)+ 3a^(2)m^(0)+ 1a^(3)m^(1),(4*v^2-5*v^4+2*v^6)+(4*v^2-8*v^4+3*v^6)*z^2+(v^2-5*v^4+v^6)*z^4-v^4*z^6
8_6,2-6*t+7*t^2-6*t^3+2*t^4,t^(-1)-1+ 3*t-4*t^2+ 4*t^3-4*t^4+ 3*t^5-2*t^6+ t^7,t^(-2) q^(-2) + t^(-1) + 3 q^(2) + 4 t q^(4) + 4 t^(2) q^(6) + 4 t^(3) q^(8) + 3 t^(4) q^(10) + 2 t^(5) q^(12) + t^(6) q^(14),2a^(-2)m^(-3)+ 6a^(-1)m^(-2)+ 7a^(0)m^(-1)+ 6a^(1)m^(0)+ 2a^(2)m^(1),(2-v^2-v^4+v^6)+(1-2*v^2-2*v^4+v^6)*z^2+(-v^2-v^4)*z^4
8_7,1-3*t+5*t^2-5*t^3+5*t^4-3*t^5+t^6,-t^(-6)+ 2*t^(-5)-3*t^(-4)+ 4*t^(-3)-4*t^(-2)+ 4*t^(-1)-2+ 2*t-t^2,t^(-5) q^(-12) + 2 t^(-4) q^(-10) + 3 t^(-3) q^(-8) + 4 t^(-2) q^(-6) + 4 t^(-1) q^(-4) + 4 q^(-2) + 2 t + 2 t^(2) q^(2) + t^(3) q^(4),1a^(-3)m^(-2)+ 3a^(-2)m^(-1)+ 5a^(-1)m^(0)+ 5a^(0)m^(1)+ 5a^(1)m^(2)+ 3a^(2)m^(3)+ 1a^(3)m^(4),(-2*v^(-4)+4*v^(-2)-1)+(-3*v^(-4)+8*v^(-2)-3)*z^2+(-v^(-4)+5*v^(-2)-1)*z^4+(v^(-2))*z^6
